dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
9005,485,MC-ICP-MS U/Th,341,,341,calcite,,,91400,800,800,,,yes,523,1,450,40,,,4070,370,1.1771,0.0069,1.6036,0.0021,0.814430125,0.407215062,Cheng et al. 2000,91300,800,800,yes,,yes,yes,yes,yes,
9006,485,MC-ICP-MS U/Th,356,,356,calcite,,,92300,500,500,,,yes,525,1,770,10,,,2554.349028,55.5293267,1.2215,0.0044,1.6046,0.0048,0.814430125,0.407215062,Cheng et al. 2000,92200,500,500,yes,,yes,yes,yes,yes,
9007,485,MC-ICP-MS U/Th,366,,366,calcite,,,94100,600,600,,,yes,541,1,290,20,,,6850,555,1.2055,0.005,1.607,0.0043,0.814430125,0.407215062,Cheng et al. 2000,94000,600,600,yes,,yes,yes,yes,yes,
9008,485,MC-ICP-MS U/Th,381,,381,calcite,,,95000,800,800,,,yes,502,1,230,70,,,7400,1850,1.1911,0.0059,1.5682,0.0041,0.814430125,0.407215062,Cheng et al. 2000,94900,800,800,yes,,yes,yes,yes,yes,
9009,485,MC-ICP-MS U/Th,384,,384,calcite,,,98700,1100,1100,,,yes,270,1,1640,60,,,629.3323693,18.50977557,1.2373,0.0073,1.5723,0.0025,0.814430125,0.407215062,Cheng et al. 2000,98600,1100,1100,yes,,yes,yes,yes,yes,
9010,486,MC-ICP-MS U/Th,79,,79,calcite,,,99200,900,900,,,yes,614,2,12760,60,,,157.3330923,1.110586534,1.0692,0.0058,1.5664,0.0031,0.814430125,0.407215062,Cheng et al. 2000,98900,900,900,yes,,yes,yes,,yes,yes
9011,486,MC-ICP-MS U/Th,88,,88,calcite,,,100200,1300,1300,,,yes,510,1,1650,60,,,925,37.01955113,0.9782,0.0077,1.5463,0.0029,0.814430125,0.407215062,Cheng et al. 2000,100100,1300,1300,yes,,yes,yes,,yes,yes
9012,486,MC-ICP-MS U/Th,126,,126,calcite,,,105500,800,800,,,yes,586,1,650,40,,,2410,148.0782045,1.0072,0.0045,1.5342,0.0039,0.814430125,0.407215062,Cheng et al. 2000,105400,800,800,yes,,yes,yes,,yes,yes
9013,486,MC-ICP-MS U/Th,156,,156,calcite,,,108900,1100,1100,,,yes,821,3,600,50,,,4440,370,1.0602,0.006,1.524,0.0027,0.814430125,0.407215062,Cheng et al. 2000,108900,1100,1100,yes,,yes,yes,,yes,yes
9014,486,MC-ICP-MS U/Th,178,,178,calcite,,,110900,2000,2000,,,yes,1014,4,1270,50,,,2410,92.54887784,0.9896,0.0103,1.5199,0.0018,0.814430125,0.407215062,Cheng et al. 2000,110800,2000,2000,yes,,yes,yes,,yes,yes
